
prices,Price levels
City;without_rent,Excluding rent;with_rent,Including rent
Delhi 18 250 100
Doha 63 360 200
Dubai 96 680 200
Dublin 56 260 130
Frankfurt 69 370 130
Geneva 100 620 270
Helsinki 44 450 200
Hong Kong 58 610 290
Istanbul 44 420 240
Jakarta 19 320 160
Johannesburg 28 320 100
Kiev 43 530 150
Kuala Lumpur 58 220 120
Lima 36 400 130
Lisbon 45 390 80
Ljubljana 32 240 140
London 51 440 200
Los Angeles 38 270 170
Luxembourg 82 380 140
Lyon 30 310 180
Madrid 53 240 170
Manama 18 350 170
Manila 18 300 160
Mexico City 31 210 130
Miami 28 330 160
Milan 74 320 170
Montreal 52 310 210
Moscow 74 530 200
Mumbai 25 280 160
Munich 53 340 170
Nairobi 22 220 170
New York 71 730 340
Nicosia 34 270 140
Oslo 98 410 220
Paris 65 600 210
Prague 58 350 120
Riga 36 300 110
Rio de Janeiro 23 440 180
Rome 36 320 210
Santiago de Chile 34 410 140
São Paulo 43 470 310
Seoul 61 510 240
Shanghai 65 440 250
Sofia 19 220 80
Stockholm 69 340 180
Sydney 45 350 220
Taipei 63 350 120
Tallinn 35 250 160
Tel Aviv 40 360 180
Tokyo 73 730 370
Toronto 71 340 150
Vienna 48 360 140
Vilnius 22 220 90
Warsaw 31 280 110
Zurich 91 630 280



city_break,Price of a city break
City;USD;Index
Amsterdam 720 60.6
Athens 590 50.0
Auckland 580 48.7
Bangkok 550 46.5
Barcelona 740 62.2
Beijing 730 62.0
Berlin 720 60.4
Bogotá 540 46.1
Bratislava 490 41.3
Brussels 730 61.5
Bucharest 370 31.0
Budapest 740 62.2
Buenos Aires 620 52.8
Cairo 420 35.8
Caracas 830 70.2
Chicago 540 45.5
Copenhagen 1060 89.8
Delhi 370 31.3
Doha 690 58.5
Dubai 1120 94.6
Dublin 580 49.4
Frankfurt 950 79.9
Geneva 1220 102.8
Helsinki 960 81.5
Hong Kong 970 81.8
Istanbul 720 60.6
Jakarta 500 42.3
Johannesburg 490 41.6
Kiev 930 78.9
Kuala Lumpur 500 42.6
Lima 600 50.9
Lisbon 720 60.8
Ljubljana 550 46.3
London 930 78.3
Los Angeles 520 44.3
Luxembourg 970 81.9
Lyon 740 62.5
Madrid 590 50.2
Manama 530 44.5
Manila 450 38.4
Mexico City 440 37.1
Miami 560 47.7
Milan 770 65.0
Montreal 720 60.6
Moscow 970 81.6
Mumbai 400 33.8
Munich 800 67.5
Nairobi 490 41.4
New York 1180 100
Nicosia 490 41.5
Oslo 1000 84.5
Paris 1100 92.9
Prague 740 62.6
Riga 580 48.7
Rio de Janeiro 710 60.2
Rome 650 54.6
Santiago de Chile 630 53.4
São Paulo 770 65.2
Seoul 780 66.1
Shanghai 740 63.0
Sofia 420 35.7
Stockholm 810 68.2
Sydney 690 57.9
Taipei 650 54.6
Tallinn 490 41.2
Tel Aviv 600 50.4
Tokyo 1190 100.5
Toronto 680 57.5
Vienna 830 69.9
Vilnius 410 35.0
Warsaw 650 54.9
Zurich 1250 105.4



services,Prices of services
City;per_month,Monthly spending;Index
Amsterdam 690 69.0
Athens 580 57.9
Auckland 630 63.0
Bangkok 440 44.0
Barcelona 750 75.6
Beijing 420 41.7
Berlin 530 53.1
Bogotá 410 41.3
Bratislava 330 33.5
Brussels 690 69.5
Budapest 390 38.8
Buenos Aires 380 38.2
Bucharest 270 27.0
Caracas 690 68.9
Chicago 770 77.8
Delhi 210 20.6
Doha 860 86.9
Dubai 780 78.8
Dublin 720 72.3
Frankfurt 710 70.8
Geneva 1080 108.1
Helsinki 840 84.4
Hong Kong 520 52.2
Istanbul 620 62.7
Jakarta 320 32.7
Johannesburg 400 40.4
Cairo 300 30.2
Kiev 450 44.8
Copenhagen 950 95.8
Kuala Lumpur 400 39.8
Lima 410 41.2
Lisbon 570 57.1
Ljubljana 490 49.2
London 760 76.7
Los Angeles 570 57.7
Luxembourg 860 86.5
Lyon 700 70.2
Madrid 630 62.8
Milan 710 71.3
Manama 510 51.2
Manila 300 29.8
Mexico City 470 47.7
Miami 610 61.5
Montreal 690 69.1
Moscow 690 69.5
Mumbai 210 21.4
Munich 710 71.6
Nairobi 370 37.1
New York 1000 100
Nicosia 490 49.1
Oslo 1270 127.6
Paris 770 77.5
Prague 460 45.8
Riga 410 40.7
Rio de Janeiro 530 53.4
Rome 690 69.6
Santiago de Chile 460 46.5
São Paulo 540 53.8
Seoul 590 59.6
Shanghai 460 46.6
Sofia 290 29.4
Stockholm 890 89.8
Sydney 680 68.5
Taipei 480 48.6
Tallinn 380 38.1
Tel Aviv 620 62.3
Tokyo 930 93.9
Toronto 750 74.9
Vilnius 360 35.8
Warsaw 420 41.8
Vienna 680 68.0
Zurich 1120 112.8



hourly_pay,Net and gross hourly pay
City;Net;Gross
Amsterdam 17.50 25.50
Athens 10.10 13.50
Auckland 16.00 19.50
Bangkok 4.40 4.80
Barcelona 14.80 19.40
Beijing 4.50 5.60
Berlin 17.70 25.80
Bogotá 5.50 7.30
Bratislava 6.90 9.00
Brussels 15.00 26.50
Bucharest 3.40 4.80
Budapest 4.60 6.60
Buenos Aires 6.40 7.70
Cairo 3.00 3.60
Caracas 5.90 6.50
Chicago 20.30 27.10
Copenhagen 23.50 40.10
Delhi 2.10 2.50
Doha 8.70 8.70
Dubai 16.20 16.20
Dublin 19.80 25.30
Frankfurt 19.70 28.70
Geneva 30.00 40.20
Helsinki 18.70 26.10
Hong Kong 12.50 13.90
Istanbul 7.10 9.10
Jakarta 2.30 2.60
Johannesburg 9.80 13.50
Kiev 2.80 3.40
Kuala Lumpur 5.50 7.00
Lima 5.80 7.20
Lisbon 10.70 14.30
Ljubljana 8.10 11.90
London 19.00 25.90
Los Angeles 20.40 28.10
Luxembourg 27.60 34.30
Lyon 16.30 20.90
Madrid 14.60 18.50
Manama 9.80 9.90
Manila 2.00 2.60
Mexico City 3.80 4.50
Miami 20.10 26.60
Milan 15.50 22.90
Montreal 16.70 24.80
Moscow 8.50 9.90
Mumbai 2.30 2.80
Munich 19.20 29.80
Nairobi 2.60 3.40
New York 25.20 32.60
Nicosia 17.30 19.80
Oslo 24.50 38.80
Paris 18.50 25.40
Prague 6.30 8.00
Riga 5.40 7.90
Rio de Janeiro 6.90 8.90
Rome 12.10 17.90
Santiago de Chile 5.40 7.40
São Paulo 7.70 9.80
Seoul 12.70 17.90
Shanghai 5.40 6.80
Sofia 3.40 4.50
Stockholm 19.70 27.00
Sydney 24.70 30.60
Taipei 9.90 10.80
Tallinn 7.10 9.10
Tel Aviv 11.00 14.00
Tokyo 22.80 30.10
Toronto 17.30 25.00
Vienna 17.80 26.10
Vilnius 5.30 7.10
Warsaw 5.50 7.70
Zurich 33.40 42.70



taxes,Taxes + Social sec
City;percentage,% of gross wage
Amsterdam 30
Athens 24
Auckland 17
Bangkok 6
Barcelona 23
Beijing 17
Berlin 30
Bogotá 12
Bratislava 23
Brussels 43
Bucharest 29
Budapest 29
Buenos Aires 17
Cairo 15
Caracas 7
Chicago 25
Copenhagen 41
Delhi 12
Doha 0
Dubai 0
Dublin 20
Frankfurt 31
Geneva 25
Helsinki 27
Hong Kong 9
Istanbul 21
Jakarta 7
Johannesburg 22
Kiev 17
Kuala Lumpur 18
Lima 16
Lisbon 23
Ljubljana 31
London 26
Los Angeles 28
Luxembourg 18
Lyon 22
Madrid 20
Manama 2
Manila 19
Mexico City 12
Miami 23
Milan 32
Montreal 33
Moscow 14
Mumbai 11
Munich 35
Nairobi 24
New York 22
Nicosia 12
Oslo 36
Paris 26
Prague 20
Riga 31
Rio de Janeiro 15
Rome 32
Santiago de Chile 24
São Paulo 17
Seoul 24
Shanghai 17
Sofia 24
Stockholm 26
Sydney 18
Taipei 8
Tallinn 21
Tel Aviv 18
Tokyo 25
Toronto 28
Vienna 30
Vilnius 24
Warsaw 29
Zurich 21



work,Working hours and vacation days
City;weekly,Working hours per year;vacation,Vacation days per year
Amsterdam 1755 24
Athens 1822 23
Auckland 1852 20
Bangkok 2312 7
Barcelona 1761 29
Beijing 1979 9
Berlin 1742 29
Bogotá 1981 15
Bratislava 1884 24
Brussels 1730 20
Bucharest 1837 26
Budapest 1912 23
Buenos Aires 1831 13
Cairo 2331 15
Caracas 1879 18
Chicago 1854 12
Copenhagen 1674 30
Delhi 2265 14
Doha 2166 26
Dubai 2096 25
Dublin 1707 21
Frankfurt 1731 28
Geneva 1893 20
Helsinki 1713 29
Hong Kong 2296 12
Istanbul 2140 19
Jakarta 2112 12
Johannesburg 1887 15
Kiev 1850 25
Kuala Lumpur 1986 15
Lima 2107 27
Lisbon 1696 22
Ljubljana 1792 23
London 1787 23
Los Angeles 1943 13
Luxembourg 1788 25
Lyon 1642 27
Madrid 1734 30
Manama 1989 22
Manila 2246 11
Mexico City 2375 6
Miami 1939 12
Milan 1753 23
Montreal 1783 13
Moscow 1800 25
Mumbai 2251 20
Munich 1756 26
Nairobi 2197 22
New York 2062 13
Nicosia 1779 22
Oslo 1749 25
Paris 1558 30
Prague 1829 21
Riga 1806 23
Rio de Janeiro 1895 30
Rome 1899 22
Santiago de Chile 2035 15
São Paulo 1810 30
Seoul 2308 14
Shanghai 1967 9
Sofia 1894 22
Stockholm 1795 26
Sydney 1846 15
Taipei 2116 11
Tallinn 1760 28
Tel Aviv 1966 16
Tokyo 2012 17
Toronto 1847 14
Vienna 1786 25
Vilnius 1789 24
Warsaw 1793 23
Zurich 1887 24



exchange_rates,Exchange rates and changes
City;currency,Currency & Ratio;usd,USD/x;eur,EUR/x;chf,CHF/x
Amsterdam EUR 1 1.295 1.000 1.201
Athens EUR 1 1.295 1.000 1.201
Auckland NZD 1 0.785 0.607 0.729
Bangkok THB 1 0.032 0.025 0.030
Barcelona EUR 1 1.295 1.000 1.201
Beijing CNY 1 0.158 0.122 0.147
Berlin EUR 1 1.295 1.000 1.201
Bogotá COP 100 0.056 0.043 0.052
Bratislava EUR 1 1.295 1.000 1.201
Brussels EUR 1 1.295 1.000 1.201
Bucharest RON 1 0.293 0.226 0.271
Budapest HUF 100 0.447 0.345 0.414
Buenos Aires ARS 1 0.226 0.174 0.209
Cairo EGP 1 0.166 0.128 0.154
Caracas VEF 1 0.233 0.180 0.216
Chicago USD 1 1.000 0.772 0.927
Copenhagen DKK 1 0.174 0.135 0.162
Delhi INR 1 0.019 0.014 0.017
Doha QAR 1 0.275 0.212 0.255
Dubai AED 1 0.272 0.210 0.252
Dublin EUR 1 1.295 1.000 1.201
Frankfurt EUR 1 1.295 1.000 1.201
Geneva CHF 1 1.079 0.833 1.000
Helsinki EUR 1 1.295 1.000 1.201
Hong Kong HKD 1 0.129 0.099 0.119
Istanbul TRY 1 0.559 0.432 0.518
Jakarta IDR 1000 0.109 0.008 0.101
Johannesburg ZAR 1 0.125 0.096 0.116
Kiev UAH 1 0.124 0.096 0.115
Kuala Lumpur MYR 1 0.326 0.252 0.302
Lima PEN 1 0.377 0.291 0.349
Lisbon EUR 1 1.295 1.000 1.201
Ljubljana EUR 1 1.295 1.000 1.201
London GBP 1 1.607 1.241 1.490
Los Angeles USD 1 1.000 0.772 0.927
Luxembourg EUR 1 1.295 1.000 1.201
Lyon EUR 1 1.295 1.000 1.201
Madrid EUR 1 1.295 1.000 1.201
Manama BHD 1 2.653 2.053 2.466
Manila PHP 1 0.024 0.018 0.022
Mexico City MXN 1 0.074 0.058 0.069
Miami USD 1 1.000 0.772 0.927
Milan EUR 1 1.295 1.000 1.201
Montreal CAD 1 0.999 0.771 0.926
Moscow RUB 1 0.033 0.026 0.031
Mumbai INR 1 0.019 0.014 0.017
Munich EUR 1 1.295 1.000 1.201
Nairobi KES 100 1.197 0.921 1.107
New York USD 1 1.000 0.772 0.927
Nicosia EUR 1 1.295 1.000 1.201
Oslo NOK 1 0.171 0.132 0.158
Paris EUR 1 1.295 1.000 1.201
Prague CZK 1 0.051 0.040 0.048
Riga LVL 1 1.856 1.433 1.721
Rio de Janeiro BRL 1 0.510 0.394 0.473
Rome EUR 1 1.295 1.000 1.201
Santiago de Chile CLP 100 0.204 0.157 0.189
São Paulo BRL 1 0.510 0.394 0.473
Seoul KRW 100 0.087 0.067 0.081
Shanghai CNY 1 0.158 0.122 0.147
Sofia BGN 1 0.662 0.511 0.614
Stockholm SEK 1 0.144 0.111 0.134
Sydney AUD 1 1.009 0.779 0.936
Taipei TWD 1 0.034 0.026 0.032
Tallinn EUR 1 1.295 1.000 1.201
Tel Aviv ILS 1 0.263 0.203 0.244
Tokyo JPY 1 0.013 0.010 0.012
Toronto CAD 1 0.999 0.771 0.926
Vienna EUR 1 1.295 1.000 1.201
Vilnius LTL 1 0.375 0.290 0.348
Warsaw PLN 1 0.305 0.235 0.283
Zurich CHF 1 1.079 0.833 1.000



exchange_rates,Exchange rate changes
City;currency,Currency & Ratio;usd,USD/x;usd_change,USD % (2012/2009);eur,EUR/x;eur_change,EUR % (2012/2009)
Amsterdam EUR 1 1.295 -0.95  1.000 -
Athens EUR 1 1.295 -0.95  1.000 -
Auckland NZD 1 0.785 47.27  0.607 48.86
Bangkok THB 1 0.032 15.01  0.025 16.10
Barcelona EUR 1 1.295 -0.95  1.000 -
Beijing CNY 1 0.158 8.26  0.122 9.28
Berlin EUR 1 1.295 -0.95  1.000 -
Bogotá COP 100 0.056 39.02  0.043 40.05
Bratislava EUR 1 1.295 -0.95  1.000 -
Brussels EUR 1 1.295 -0.95  1.000 -
Bucharest RON 1 0.293 -4.10  0.226 -3.24
Budapest HUF 100 0.447 3.77  0.345 4.76
Buenos Aires ARS 1 0.226 -17.52  0.174 -16.75
Cairo EGP 1 0.166 -6.64  0.128 -5.77
Caracas VEF 1 0.233 -49.94  0.180 -49.47
Chicago USD 1 1.000 - 0.772 0.94
Copenhagen DKK 1 0.174 -0.71  0.135 0.22
Delhi INR 1 0.019 -4.67  0.014 -3.76
Doha QAR 1 0.275 -0.01  0.212 0.84
Dubai AED 1 0.272 0.01  0.210 0.94
Dublin EUR 1 1.295 -0.95  1.000 -
Frankfurt EUR 1 1.295 -0.95  1.000 -
Geneva CHF 1 1.079 24.42  0.833 25.58
Helsinki EUR 1 1.295 -0.95  1.000 -
Hong Kong HKD 1 0.129 -0.13  0.099 0.80
Istanbul TRY 1 0.559 -4.46  0.432 -3.55
Jakarta IDR 1000 0.109 28.39  0.084 29.60
Johannesburg ZAR 1 0.125 23.89  0.096 24.99
Kiev UAH 1 0.124 -0.03  0.096 0.94
Kuala Lumpur MYR 1 0.326 19.70  0.252 20.84
Lima PEN 1 0.377 19.42  0.291 20.41
Lisbon EUR 1 1.295 -0.95  1.000 -
Ljubljana EUR 1 1.295 -0.95  1.000 -
London GBP 1 1.607 13.14  1.241 14.22
Los Angeles USD 1 1.000 - 0.772 0.94
Luxembourg EUR 1 1.295 -0.95  1.000 -
Lyon EUR 1 1.295 -0.95  1.000 -
Madrid EUR 1 1.295 -0.95  1.000 -
Manama BHD 1 2.653 -0.02  2.053 1.18
Manila PHP 1 0.024 13.69  0.018 14.77
Mexico City MXN 1 0.074 9.02  0.058 10.07
Miami USD 1 1.000 - 0.772 0.94
Milan EUR 1 1.295 -0.95  1.000 -
Montreal CAD 1 0.999 26.16  0.771 27.34
Moscow RUB 1 0.033 14.27  0.026 15.41
Mumbai INR 1 0.019 -4.67  0.014 -3.76
Munich EUR 1 1.295 -0.95  1.000 -
Nairobi KES 100 1.197 -3.91  0.921 -3.24
New York USD 1 1.000 - 0.772 0.94
Nicosia EUR 1 1.295 -0.95  1.000 -
Oslo NOK 1 0.171 15.58  0.132 16.68
Paris EUR 1 1.295 -0.95  1.000 -
Prague CZK 1 0.051 6.89  0.040 7.87
Riga LVL 1 1.856 0.53  1.433 1.47
Rio de Janeiro BRL 1 0.510 17.88  0.394 19.02
Rome EUR 1 1.295 -0.95  1.000 -
Santiago de Chile CLP 100 0.204 20.68  0.157 21.84
São Paulo BRL 1 0.510 17.88  0.394 19.02
Seoul KRW 100 0.087 26.47  0.067 27.67
Shanghai CNY 1 0.158 8.26  0.122 9.28
Sofia BGN 1 0.662 -0.91  0.511 0.02
Stockholm SEK 1 0.144 23.07  0.111 24.23
Sydney AUD 1 1.009 51.19  0.779 52.70
Taipei TWD 1 0.034 16.90  0.026 18.00
Tallinn EUR 1 1.295 n.a. 1.000 n.a.
Tel Aviv ILS 1 0.263 9.50  0.203 10.43
Tokyo JPY 1 0.013 22.41  0.010 23.56
Toronto CAD 1 0.999 26.16  0.771 27.34
Vienna EUR 1 1.295 -0.95  1.000 -
Vilnius LTL 1 0.375 -0.89  0.290 0.04
Warsaw PLN 1 0.305 7.66  0.235 8.62
Zurich CHF 1 1.079 24.42  0.833 25.58



inflation,Inflation 2009-2012
City;Country;in_2009;in_2010;in_2011
Amsterdam (Netherlands) 1.0 0.9 2.5
Athens (Greece) 1.3 4.7 3.1
Auckland (New Zealand) 2.1 2.3 4.0
Bangkok (Thailand) -0.8 3.3 3.8
Barcelona (Spain) -0.2 2.0 3.1
Beijing (China) -0.7 3.3 5.4
Berlin (Germany) 0.2 1.2 2.5
Bogotá (Colombia) 4.2 2.3 3.4
Bratislava (Slovakia) 0.9 0.7 4.1
Brussels (Belgium) 0.0 2.3 3.5
Bucharest (Romania) 5.6 6.1 5.8
Budapest (Hungary) 4.2 4.9 3.9
Buenos Aires (Argentina) 6.3 10.5 9.8
Cairo (Egypt) 16.2 11.7 11.1
Caracas (Venezuela) 27.1 28.2 26.1
Chicago (United States) -0.3 1.6 3.1
Copenhagen (Denmark) 1.3 2.3 2.8
Delhi (India) 10.9 12.0 8.6
Doha (Qatar) -4.9 -2.4 2.0
Dubai (United Arab Emirates) 1.6 0.9 0.9
Dublin (Ireland) -1.7 -1.6 1.1
Frankfurt (Germany) 0.2 1.2 2.5
Geneva (Switzerland) -0.5 0.7 0.2
Helsinki (Finland) 1.6 1.7 3.3
Hong Kong (China) 0.6 2.3 5.3
Istanbul (Turkey) 6.3 8.6 6.5
Jakarta (Indonesia) 4.8 5.1 5.4
Johannesburg (South Africa) 7.1 4.3 5.0
Kiev (Ukraine) 15.9 9.4 8.0
Kuala Lumpur (Malaysia) 0.6 1.7 3.2
Lima (Peru) 2.9 1.5 3.4
Lisbon (Portugal) -0.9 1.4 3.6
Ljubljana (Slovenia) 0.9 1.8 1.8
London (Great Britain) 2.1 3.3 4.5
Los Angeles (United States) -0.3 1.6 3.1
Luxembourg (Luxembourg) 0.4 2.3 3.4
Lyon (France) 0.1 1.7 2.3
Madrid (Spain) -0.2 2.0 3.1
Manama (Bahrain) 2.8 2.0 1.0
Manila (Philippines) 4.2 3.8 4.8
Mexico City (Mexico) 5.3 4.2 3.4
Miami (United States) -0.3 1.6 3.1
Milan (Italy) 0.8 1.6 2.9
Montreal (Canada) 0.3 1.8 2.9
Moscow (Russia) 11.7 6.9 8.4
Mumbai (India) 10.9 12.0 8.6
Munich (Germany) 0.2 1.2 2.5
Nairobi (Kenya) 10.6 4.1 14.0
New York (United States) -0.3 1.6 3.1
Nicosia (Cyprus) 0.2 2.6 3.5
Oslo (Norway) 2.2 2.4 1.3
Paris (France) 0.1 1.7 2.3
Prague (Czech Republic) 1.0 1.5 1.9
Riga (Latvia) 3.3 -1.2 4.2
Rio de Janeiro (Brazil) 4.9 5.0 6.6
Rome (Italy) 0.8 1.6 2.9
Santiago de Chile (Chile) 1.5 1.4 3.3
São Paulo (Brazil) 4.9 5.0 6.6
Seoul (South Korea) 2.8 2.9 4.0
Shanghai (China) -0.7 3.3 5.4
Sofia (Bulgaria) 2.5 3.0 3.4
Stockholm (Sweden) 2.0 1.9 1.4
Sydney (Australia) 1.8 2.8 3.4
Taipei (Taiwan) -0.9 1.0 1.4
Tallinn (Estonia) -0.1 2.9 5.1
Tel Aviv (Israel) 3.3 2.7 3.4
Tokyo (Japan) -1.3 -0.7 -0.3
Toronto (Canada) 0.3 1.8 2.9
Vienna (Austria) 0.4 1.7 3.6
Vilnius (Lithuania) 4.2 1.2 4.1
Warsaw (Poland) 3.5 2.5 4.3
Zurich (Switzerland) -0.5 0.7 0.2



Income: department managers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 104400 61000 39
Athens 57200 37700 40
Auckland 61300 47700 42
Bangkok 32200 26400 49
Barcelona 40800 30600 40
Beijing 13300 11100 40
Berlin 84200 53600 39
Bogotá 27600 24900 40
Bratislava 20300 15900 42
Brussels 97000 43400 38
Bucharest 13900 9800 40
Budapest 25600 16600 43
Buenos Aires 34300 29300 40
Cairo 27700 23600 43
Caracas 16800 15800 40
Chicago 79300 50500 42
Copenhagen 86400 50200 40
Delhi 13500 10400 44
Doha 49500 49500 43
Dubai 116800 116800 42
Dublin 88800 63100 37
Frankfurt 83300 55300 38
Geneva 105800 78700 40
Helsinki 89900 55000 38
Hong Kong 64400 59100 46
Istanbul 38600 29800 40
Jakarta 17000 15500 43
Johannesburg 51500 37000 40
Kiev 11100 9100 40
Kuala Lumpur 44000 30600 40
Lima 37300 27700 48
Lisbon 33700 23800 40
Ljubljana 56600 34400 40
London 80300 54400 40
Los Angeles 58500 46000 42
Luxembourg 126300 95400 40
Lyon 81500 64400 40
Madrid 39200 32400 41
Manama 57900 57900 40
Manila 10900 8700 44
Mexico City 21400 17500 47
Miami 70300 54800 38
Milan 68000 43000 37
Montreal 59700 38700 39
Moscow 28800 25000 40
Mumbai 19800 15200 48
Munich 105900 69300 43
Nairobi 11400 8700 42
New York 118200 89500 44
Nicosia 62800 53000 40
Oslo 123400 83000 39
Paris 71000 50900 38
Prague 24500 18600 40
Riga 23300 15900 40
Rio de Janeiro 62400 46800 43
Rome 53100 34200 40
Santiago de Chile 28100 21500 45
São Paulo 61900 45700 40
Seoul 65400 44400 45
Shanghai 39600 26900 40
Sofia 18100 13700 40
Stockholm 88800 57000 40
Sydney 111000 80000 40
Taipei 61500 53400 42
Tallinn 51000 39100 40
Tel Aviv 48700 37800 44
Tokyo 89400 67500 45
Toronto 66600 42300 38
Vienna 96100 59600 39
Vilnius 23600 18000 40
Warsaw 20900 14800 40
Zurich 137200 100800 42


Income: female factory workers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 40300 28000 39
Athens 15400 12200 40
Auckland 27200 22900 40
Bangkok 5800 5600 52
Barcelona 25000 19900 40
Beijing 5400 4500 40
Berlin 32000 23200 37
Bogotá 4100 3800 45
Bratislava 12600 9700 42
Brussels 33500 18600 38
Bucharest 5800 4100 40
Budapest 6500 4800 40
Buenos Aires 7500 6200 40
Cairo 1900 1700 48
Caracas 5400 5100 41
Chicago 33800 25300 40
Copenhagen 64800 37800 38
Delhi 1800 1800 51
Doha 3200 3200 48
Dubai 9800 9800 48
Dublin 28200 23200 39
Frankfurt 34100 26000 37
Geneva 55400 41600 40
Helsinki 33500 25900 38
Hong Kong 14000 12800 49
Istanbul 9200 7500 46
Jakarta 1400 1400 48
Johannesburg 15900 13000 40
Kiev 4000 3200 40
Kuala Lumpur 5100 4400 47
Lima 7600 6600 48
Lisbon 18500 15000 40
Ljubljana 12400 8800 40
London 37600 27600 38
Los Angeles 47300 33300 42
Luxembourg 29900 23600 40
Lyon 23800 18900 35
Madrid 19900 17100 40
Manama 11800 11700 44
Manila 2800 2300 48
Mexico City 3100 2800 47
Miami 33800 26800 40
Milan 28800 20100 40
Montreal 35400 24100 40
Moscow 11800 8300 40
Mumbai 1400 1300 48
Munich 31500 21200 37
Nairobi 2800 2100 49
New York 41300 32600 44
Nicosia 21000 19400 38
Oslo 63700 41100 39
Paris 25400 18900 35
Prague 9200 7600 40
Riga 9300 6200 40
Rio de Janeiro 6300 5800 43
Rome 16200 8700 43
Santiago de Chile 7400 5800 44
São Paulo 7100 6500 44
Seoul 10500 8900 47
Shanghai 8200 7000 43
Sofia 5100 3900 43
Stockholm 37900 28800 40
Sydney 50500 41800 40
Taipei 11000 10100 48
Tallinn 10600 8500 40
Tel Aviv 15200 13100 43
Tokyo 48000 36400 44
Toronto 29700 24000 38
Vienna 25400 20100 40
Vilnius 8500 6500 40
Warsaw 8400 6100 40
Zurich 53200 43500 41



Income: construction workers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 30200 22500 39
Athens 17100 12400 43
Auckland 28500 24000 40
Bangkok 3000 2800 54
Barcelona 29800 22700 42
Beijing 7600 6700 42
Berlin 28500 21500 42
Bogotá 7000 6200 45
Bratislava 10000 7900 43
Brussels 34200 21000 38
Bucharest 7900 5300 43
Budapest 7000 5400 46
Buenos Aires 10200 8800 40
Cairo 2600 2200 51
Caracas 6100 5700 40
Chicago 49000 36100 40
Copenhagen 58500 33000 38
Delhi 1300 1300 56
Doha 4100 4100 54
Dubai 3600 3600 48
Dublin 28200 23200 40
Frankfurt 34100 22500 40
Geneva 58900 44300 40
Helsinki 38700 28800 39
Hong Kong 18900 17200 51
Istanbul 9500 7800 48
Jakarta 1300 1200 52
Johannesburg 7500 7000 45
Kiev 4900 4500 48
Kuala Lumpur 6100 5400 52
Lima 5400 5200 60
Lisbon 13900 11500 40
Ljubljana 13000 9100 40
London 39100 28600 42
Los Angeles 47000 32000 42
Luxembourg 28500 24100 40
Lyon 24000 18800 37
Madrid 23200 19000 43
Manama 7600 7600 44
Manila 2700 2500 45
Mexico City 3100 2700 48
Miami 40100 31100 45
Milan 28900 20100 40
Montreal 27600 18800 37
Moscow 13000 11400 41
Mumbai 1300 1300 39
Munich 28000 18800 33
Nairobi 2500 1800 54
New York 69300 53000 43
Nicosia 24500 21800 45
Oslo 62800 40400 39
Paris 25900 19000 35
Prague 9100 7500 43
Riga 14600 10100 40
Rio de Janeiro 8400 7500 44
Rome 19600 14500 43
Santiago de Chile 6700 5300 47
São Paulo 6600 6100 40
Seoul 13000 13000 50
Shanghai 6700 5600 40
Sofia 5700 4500 43
Stockholm 43300 32500 40
Sydney 39200 34600 33
Taipei 20100 19000 47
Tallinn 10600 8500 40
Tel Aviv 21000 17600 42
Tokyo 47000 35100 45
Toronto 46200 35700 43
Vienna 29500 22400 40
Vilnius 9800 7500 40
Warsaw 9700 7000 40
Zurich 61800 50200 41



Income: skilled industrial workers
City;gross_income,Gross annual;net_income,Net annual;hours,Weekly hours
Amsterdam 55400 37000 38
Athens 24500 18500 40
Auckland 41800 33900 40
Bangkok 10900 10200 52
Barcelona 31500 24900 40
Beijing 6200 5700 44
Berlin 47400 32400 39
Bogotá 7300 6600 45
Bratislava 16300 12600 42
Brussels 52100 29800 38
Bucharest 7400 5100 40
Budapest 10900 8300 43
Buenos Aires 11400 9500 42
Cairo 6600 5700 48
Caracas 9700 9300 40
Chicago 58500 44900 42
Copenhagen 68900 40500 38
Delhi 4800 4100 51
Doha 20600 20600 48
Dubai 38300 38300 48
Dublin 42600 35200 38
Frankfurt 48800 36300 37
Geneva 78400 59200 40
Helsinki 40500 29800 39
Hong Kong 23100 22500 49
Istanbul 20300 16600 45
Jakarta 10100 9200 47
Johannesburg 41800 29000 40
Kiev 7000 5700 40
Kuala Lumpur 12800 10500 47
Lima 15900 13000 48
Lisbon 25900 19400 40
Ljubljana 17900 13500 40
London 51700 37900 38
Los Angeles 62300 49600 41
Luxembourg 45300 39000 40
Lyon 29400 23200 36
Madrid 27300 21200 41
Manama 24000 22900 40
Manila 3600 2500 48
Mexico City 4800 4500 48
Miami 56500 42300 42
Milan 36900 26000 40
Montreal 42500 29000 38
Moscow 15900 13900 40
Mumbai 3100 2700 54
Munich 51700 35600 37
Nairobi 4400 3200 49
New York 79100 61900 43
Nicosia 33800 30000 38
Oslo 72900 46900 39
Paris 32100 24900 35
Prague 15400 12600 40
Riga 15300 10200 40
Rio de Janeiro 18600 15500 43
Rome 31300 23200 43
Santiago de Chile 12200 8500 47
